web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733471180-147,VW CALIFORNIA BEACH EDITION 4MOTION ALLTAGSAUTO UND CAMPER MIT 5 SITZEN UND ELEKTRISCHEM AUFSTELLDACH,CHF 57'900.–,75'012 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",57900,75012,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471182-148,VW T6.1 CALIFORNIA OCEAN,CHF 57'900.–,58'931 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",57900,58931,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471185-149,VW T6.1 CALIFORNIA OCEAN,CHF 54'900.–,86'148 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",54900,86148,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471188-150,VW T6.1 CALIFORNIA BEACH EDITION_4X4,CHF 59'900.–,63'362 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",59900,63362,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471190-151,SUN LIVING S-SERIES S72 DL (A260),CHF 73'900.–,17'500 km,Diesel,"WANNENWEG 1, 4133 PRATTELN",73900,17500,1,50000 - 99999,47.523582458496094,7.711702823638916
1733471195-152,VW 2.0 TDI 105 PS MAREMONTI SURF CAMPER 6SITZE,CHF 36'899.–,72'000 km,Diesel,"THALERSTRASSE 46A, 9424 RHEINECK",36899,72000,1,20000 - 49999,47.467018127441406,9.58243179321289
1733471198-153,MERCEDES-BENZ VITO 4X4 CAMPER VAN,CHF 24'900.–,201'037 km,Diesel,"BUECHBERGSTRASSE 10, 9422 STAAD SG",24900,201037,1,20000 - 49999,47.47590255737305,9.550376892089844
1733471200-154,VW T6 CALIFORNIA 2.0 BI-TDI OCEAN 4MOTION,CHF 67'900.–,48'501 km,Diesel,"BUHOLZSTRASSE 40, 6032 EMMEN",67900,48501,1,50000 - 99999,47.0927734375,8.318682670593262
1733471205-156,CARADO,CHF 52'500.–,12'890 km,Diesel,1350 ORBE,52500,12890,1,50000 - 99999,46.73106002807617,6.534222602844238
1733471207-157,SUNLIGHT T 69L,CHF 37'500.–,178'000 km,Diesel,"EISTRASSE 1, 6102 MALTERS",37500,178000,1,20000 - 49999,47.04475021362305,8.191388130187988
1733471215-160,"RAPIDO V62 640 SPEZIAL 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 62'997.–,21'459 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",62997,21459,1,50000 - 99999,47.741600036621094,8.709936141967773
